Date,Gross_Bank_Credit,Food_Credit,Non_Food_Credit,Agriculture,Industry,Industry_Micro_Small,Industry_Medium,Industry_Large,Services,Trade,NBFC,Personal_Loans,Housing,Credit_Card_Outstanding,Vehicle_Loans,Gold_Jewellery_Loans
2019-01-18,9332554.55,70948.9,9261605.65,1083490.18,2715406.47,366705.18,103061.49,2245639.8,2197969.03,473408.83,662551.6,2224620.75,1141732.79,83645.81,281694.44,24444.88
2019-02-15,9440365.932,61740.17,9378625.762,1093808.93,2745352.94,366469.12,95665.61,2283218.21,2219139.82,480042.95,707143.7,2246808.8,1153719.34,82798.71,282226.51,24600.01
2019-03-29,9771722.4352,41610.33,9730112.1052,1113066.93,2837528.33,371373.79,100786.17,2365368.37,2340658.53,479994.12,751146.21,2303143.51,1176510.06,87685.62,285257.82,24670.77
2019-04-26,9620945.4915,43161.73,9577783.7615,1106651.26,2817879.12,375467.41,102426.35,2339985.36,2279245.15,488789.7,725245.92,2308478.86,1187097.79,91931.27,285567.84,24577.71
2019-05-24,9621544.9886,65722.59,9555822.3986,1100190.86,2771471.96,356696.46,99345.32,2315430.18,2231603.91,476998.73,705605.83,2321474.46,1192750.18,93038.7,287246.09,25849.01
2019-06-21,9648768.2613,71419.48,9577348.7813,1099263.54,2780229.12,355198.47,99453.24,2325577.41,2232076.45,477763.23,708269.67,2339939.57,1208164.13,94292.74,286279.3,27102.28
2019-07-19,9658377.6835,66001.53,9592376.1535,1107296.32,2761535.02,355607.63,99649.73,2306277.66,2251033.96,484917.07,735161.49,2367432.28,1222853.69,93377.19,287772.52,27214.94
2019-08-30,9680153.4437,62391.61,9617761.8337,1108772.29,2737075.98,363984.51,101254.61,2271836.86,2269022.52,474172.16,770593.19,2387855.12,1236210.9,96972.74,289025.36,27598.38
2019-09-27,9766853.85619,60085.07,9706768.78619,1123070.58,2730943.18,370444.47,101777.96,2258720.75,2321272.93,479134.01,799158.88,2425102.4,1255411.17,98607.5,289152.97,28828.15
2019-10-25,9840562.3137,69778.61,9770783.7037,1174598.15,2892418.98,384347.29,106260.38,2401811.31,2465636.55,504713.98,814566.33,2561501.64,1295242.23,113798.86,322367.84,28926.07
2019-11-22,9860302.64996,91304.09,9768998.55996,1176104.41,2866553.89,387509.92,104484.63,2374559.34,2465378.47,490070.12,836140.62,2578861.85,1302222.9,114898.72,323778.44,29276.84
2019-12-20,10036091.7838,83502.17,9952589.6138,1177788.24,2848416.11,381558.32,106798.42,2360059.37,2482561.96,503873.93,846292.74,2604683.62,1303749.87,115188.48,325253.36,29104.55
2020-01-31,10105176.35551,78899.97,10026276.38551,1196981.8,2869245.82,400441.4,109805.84,2358998.58,2531566.92,523734.13,842900.25,2685467.94,1341242.32,122125.57,336405.85,31862.76
2020-02-28,10104866.31986,65596.37,10039269.94986,1200837.27,2871313.05,402388.94,108217.67,2360706.44,2535867.81,539191.91,820315.42,2706185.59,1350946.76,122774.86,336779.21,31785.93
2020-03-27,10370860.68312,51763.97,10319096.71312,1203175.78,2946851.25,403050.99,108572.77,2435227.49,2672047.27,557115.31,950900.73,2726863.88,1361880.1,119914.21,339518.89,33256.93
2020-04-24,10273415.78664,52643.42,10220772.36664,1207669.39,2928353.27,388943.54,101204.99,2438204.74,2654269.16,561505.93,898191.55,2678182.04,1364704.23,108096.43,334649.13,33374.38
2020-05-22,10222753.1829,79416.24,10143336.9429,1212912.79,2904685.07,380861.81,101911.34,2421911.92,2607610.22,545931.99,892632.63,2642260.17,1353527.62,103697.49,329330.22,33641.82
2020-06-19,10245677.47013,89288.99,10156388.48013,1201420.11,2911362.69,383486.49,96987.34,2430888.86,2617905.38,552196.3,884343.91,2655681.33,1360211.3,108672.19,328959.94,35245.34
2020-07-31,10282056.88798,79287.5,10202769.38798,1215664.3,2868970.47,393157.0,103986.93,2371826.54,2624302.29,586699.25,878010.69,2701387.01,1375160.94,112967.52,334225.34,38631.98
2020-08-28,10216158.03843,65941.47,10150216.56843,1202213.57,2825014.64,391452.37,110041.49,2323520.78,2642567.86,585069.44,872859.58,2706439.9,1373864.26,116875.93,335125.18,41812.14
2020-09-25,10271581.00793,66426.85,10205154.15793,1245397.83,2831679.89,398630.62,124206.77,2308842.5,2653792.91,583252.94,893375.68,2735273.4,1386716.31,118161.34,336497.11,46700.66
2020-10-23,10338867.87781,66659.01,10272208.86781,1263805.16,2803794.83,399732.32,129018.82,2275043.69,2639010.63,593212.85,868992.24,2785396.81,1399589.0,123174.46,343228.41,52865.94
2020-11-20,10434880.34296,88956.29,10345924.05296,1263992.74,2817624.48,403260.29,130235.28,2284128.91,2647805.85,574043.76,863632.09,2819694.01,1411947.07,127682.73,350289.34,57453.23
2020-12-18,10702596.47069,92544.0,10610052.47069,1280650.81,2822924.36,409260.75,129661.83,2284001.78,2659819.98,588756.08,880376.48,2848752.08,1426529.22,123747.93,353785.98,62087.96
2021-01-29,10703751.83006,87109.0,10616642.83006,1312049.26,2945303.78,427692.14,143415.4,2374196.24,2779619.82,620495.7,906094.54,2948660.06,1467467.01,136046.06,362419.16,68164.36
2021-02-26,10774742.46194,75205.98,10699536.48194,1321554.329862,2975110.698656,438368.764486,149296.235025,2387445.699146,2819223.734847,616561.611624,887223.775142,2999455.446228,1487434.408182,136506.752133,366264.157562,71608.375995
2021-03-26,10949509.0,61254.38,10888254.62,1329618.477,2940570.692,433192.2035,145208.7221,2362169.766,2764830.794,628249.3231,948567.5475,3009013.068,1492302.431,131704.252,368412.4502,75048.58529
2021-04-23,10860485.37617,58334.89,10802150.48617,1364750.508887,2962892.489197,442284.175275,160400.757457,2360207.556465,2767556.877014,642050.223018,919601.390372,3076392.835517,1545273.364048,133277.291697,374724.906517,77784.14201
2021-05-21,10831221.47883,90662.91,10740558.56883,1354841.050918,2957537.040007,430289.072784,172643.129563,2354604.837661,2748972.490051,648360.226353,901963.62187,3047424.767225,1542456.012442,123553.971542,368741.725582,77190.600108
2021-06-18,10928555.0,83178.0,10845377.0,1358177.05738,2941899.967421,450802.885874,169905.081807,2321191.99974,2773216.985405,647113.95171,902843.904764,3048391.091725,1552383.060472,122211.251544,365462.684835,75647.929311
2021-07-30,10910566.77961,77477.65,10833089.12961,1379122.775819,2934180.316216,457528.200109,181157.796757,2295494.31935,2770324.280396,648919.034419,903954.938801,3095232.424446,1564149.72708,132366.801385,370247.457975,74359.112506
2021-08-27,10897601.02207,68800.57,10828800.45207,1386370.474211,2922212.794132,461994.482973,183693.046322,2276525.264837,2746800.390193,645102.834595,886891.605223,3124343.552403,1576888.88194,137275.501224,374202.849926,73158.976095
2021-09-24,10956816.87652,62341.83,10894475.04652,1408329.05405,2939098.812651,478791.393655,188654.625256,2271652.79374,2735004.237639,635347.344134,881104.625543,3167881.303371,1600712.412333,137276.731062,376980.365678,73100.76279
2021-10-22,11044619.14259,63697.47,10980921.67259,1429971.569413,2954305.896457,487411.607532,192556.922353,2274337.366572,2766127.863218,660845.580527,900098.812362,3210245.608897,1616878.815803,145373.700898,380059.038571,73361.703612
2021-11-19,11162193.47978,82415.32,11079778.15978,1433044.945266,2977969.866936,493382.819187,197117.694081,2287469.353668,2784866.718235,655857.434472,928482.561237,3250799.497355,1635989.7901,144945.080732,384422.450963,72087.006351
2021-12-31,11582087.1494,88679.84,11493407.3094,1495653.970667,3087299.702852,537956.735099,232403.25743,2316939.710323,2991384.268555,700034.96639,985651.150129,3352795.412686,1685085.57665,148129.610563,390806.143766,76669.250532
